date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:28	358623/358623	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2015:15:28%20GMT	https://www.bbc.co.uk/bitesize/subjects/zh2xsbk	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/subjects/zh2xsbk.html	(from )
16:15:29	645/645	---M-Z	200	added ('OK')	text/plain	date:Tue,%2030%20Jul%202024%2015:15:28%20GMT	https://www.bbc.co.uk/robots.txt		(from )
16:15:29	32425/32425	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jul%202024%2015:15:29%20GMT	https://www.bbc.co.uk/bitesize/subjects/.	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/subjects/	(from https://www.bbc.co.uk/bitesize/subjects/zh2xsbk)
16:15:30	198739/198739	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2015:15:30%20GMT	https://www.bbc.co.uk/bitesize/subjects/zng4d2p	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/subjects/zng4d2p.html	(from https://www.bbc.co.uk/bitesize/subjects/zh2xsbk)
16:15:32	230109/230109	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2015:15:31%20GMT	https://www.bbc.co.uk/bitesize/topics/zgdysk7/articles/zfxgbqt	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/zgdysk7/articles/zfxgbqt.html	(from https://www.bbc.co.uk/bitesize/subjects/zh2xsbk)
16:15:33	287682/287682	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2015:15:32%20GMT	https://www.bbc.co.uk/bitesize/topics/zgy39j6/articles/z8mxgdm	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/zgy39j6/articles/z8mxgdm.html	(from https://www.bbc.co.uk/bitesize/subjects/zh2xsbk)
16:15:34	293087/293087	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2015:15:33%20GMT	https://www.bbc.co.uk/bitesize/topics/zgy39j6/articles/z2s6cj6	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/zgy39j6/articles/z2s6cj6.html	(from https://www.bbc.co.uk/bitesize/subjects/zh2xsbk)
16:15:35	366980/366980	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2015:15:34%20GMT	https://www.bbc.co.uk/bitesize/topics/zgy39j6/articles/zshqqfr	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/zgy39j6/articles/zshqqfr.html	(from https://www.bbc.co.uk/bitesize/subjects/zh2xsbk)
16:15:36	355363/355363	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2015:15:35%20GMT	https://www.bbc.co.uk/bitesize/topics/zgy39j6/articles/z4h94xs	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/zgy39j6/articles/z4h94xs.html	(from https://www.bbc.co.uk/bitesize/subjects/zh2xsbk)
16:15:37	333219/333219	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jul%202024%2015:15:36%20GMT	https://www.bbc.co.uk/bitesize/topics/zgy39j6/articles/zd794xs	/Volumes/osilvr/Tutoring/KS3/%20Bitesize/www.bbc.co.uk/bitesize/topics/zgy39j6/articles/zd794xs.html	(from https://www.bbc.co.uk/bitesize/subjects/zh2xsbk)
